Taxonomy,Colloquial Genus,Trophic Level,Species Count,Reproduction Type,Lifespan (years)
Nematoda,Roundworms,Decomposers or parasites,834,Asexual,1
Bryophyta,Mosses,Autotrophs,984,Asexual,41
Pteridophyta,Ferns,Autotrophs,1369,Asexual,111
Porifera,Sponges,Filter feeders,2282,Asexual,42
Cnidaria,Jellyfish or Corals,Predators and filter feeders,2518,Sexual,143
Annelida,Segmented Worms,Decomposers or filter feeders,2934,Sexual,39
Echinodermata,Starfish or Sea Urchins,Predators or herbivores,4922,Sexual,63
Chordata,Vertebrates or including Fish or Amphibians or Reptiles or Birds or Mammals,Herbivores or predators or omnivores,6055,Sexual,93
Platyhelminthes,Flatworms,Predators and parasites,6272,Sexual,129
Arthropoda,Insects or Crustaceans,Herbivores or predators or scavengers,7392,Sexual,85
Angiospermae,Flowering Plants,Autotrophs,7615,Sexual,130
Mollusca,Snails or Clams or Squid,Herbivores or filter feeders or predators,9218,Sexual,13
